article_id,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1
30,0.3524804177545692,0.14921465968586387,0.22976501305483027,0.6516491174697876,0.5426228642463684,0.5921593904495239
0,0.37623762376237624,0.30769230769230765,0.32920792079207917,0.8214121460914612,0.7123578786849976,0.7630079388618469
22,0.392807745504841,0.26907073509015256,0.30982019363762103,0.7858525514602661,0.6547698974609375,0.7143476009368896
31,0.537890044576523,0.4321907600596125,0.4309063893016345,0.8150653839111328,0.6880019903182983,0.7461629509925842
18,0.364406779661017,0.1473087818696884,0.2711864406779661,0.6933656930923462,0.5782665014266968,0.6306071281433105
28,0.29395852119026145,0.17705510388437218,0.19477006311992787,0.7537452578544617,0.6249212026596069,0.6833145618438721
10,0.6138211382113821,0.40408163265306124,0.42276422764227645,0.802741527557373,0.7040033340454102,0.7501372694969177
53,0.34575260804769004,0.18236173393124064,0.18479880774962745,0.732335090637207,0.558905839920044,0.6339735984802246
4,0.44444444444444436,0.20671140939597313,0.2891566265060241,0.7617806196212769,0.6589821577072144,0.7066624760627747
12,0.5058823529411766,0.3543307086614173,0.30980392156862746,0.7747784852981567,0.591263473033905,0.6706942915916443
49,0.5809312638580931,0.37861915367483295,0.43902439024390244,0.7467644214630127,0.61960768699646,0.6772693395614624
33,0.23826086956521736,0.1846689895470383,0.18608695652173915,0.7497310638427734,0.6016143560409546,0.6675553917884827
68,0.30874785591766724,0.21305841924398627,0.2538593481989709,0.783486008644104,0.6458375453948975,0.7080338001251221
35,0.20921305182341654,0.11730769230769231,0.14587332053742802,0.6925797462463379,0.5452948212623596,0.6101751923561096
69,0.266199649737303,0.08787346221441125,0.18213660245183888,0.6413457989692688,0.4821300506591797,0.550456166267395
45,0.5378900445765231,0.4083457526080476,0.41604754829123325,0.8137757182121277,0.6821951866149902,0.7421987652778625
75,0.2918807810894142,0.15242018537590116,0.19321685508735867,0.7439244985580444,0.5449087023735046,0.6290510296821594
62,0.39018404907975457,0.2533825338253382,0.28220858895705525,0.7384514808654785,0.6509450078010559,0.6919426321983337
56,0.280794701986755,0.13811420982735725,0.22251655629139072,0.7271202802658081,0.566799521446228,0.6370278000831604
40,0.5134706814580031,0.31160572337042924,0.39302694136291594,0.7490266561508179,0.6671639680862427,0.7057292461395264
