article_id,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1
30,0.20431654676258995,0.05483405483405483,0.11798561151079137,0.5947530269622803,0.48308002948760986,0.5331313610076904
0,0.19257221458046767,0.1186206896551724,0.1623108665749656,0.7366886138916016,0.5701032280921936,0.6427780389785767
22,0.3067846607669617,0.16863905325443787,0.23893805309734512,0.7306414246559143,0.5879837274551392,0.6515957117080688
31,0.25539568345323743,0.148014440433213,0.17266187050359713,0.6997032165527344,0.5237283110618591,0.5990598797798157
18,0.19420783645655876,0.06153846153846154,0.12265758091993187,0.6230420470237732,0.46344873309135437,0.5315241813659668
28,0.19694072657743786,0.07471264367816093,0.09751434034416825,0.6688902378082275,0.5238335132598877,0.5875411033630371
10,0.3685636856368564,0.1798365122615804,0.21138211382113822,0.7118926048278809,0.5325323343276978,0.6092867851257324
53,0.24803767660910522,0.09763779527559055,0.13814756671899528,0.6270871758460999,0.481853187084198,0.5449597835540771
4,0.2899408284023669,0.10089020771513353,0.15384615384615388,0.6160587072372437,0.49208641052246094,0.5471379160881042
12,0.3384615384615385,0.16335540838852097,0.21098901098901096,0.6669310331344604,0.4945420026779175,0.567943274974823
49,0.46896551724137925,0.19399538106235567,0.3218390804597701,0.6540325880050659,0.5577771663665771,0.6020820140838623
33,0.15173674588665445,0.07142857142857144,0.09872029250457039,0.6486933827400208,0.5109609365463257,0.5716478824615479
68,0.1381267738883633,0.08341232227488152,0.0946073793755913,0.6945825219154358,0.4969407320022583,0.5793699026107788
35,0.11214953271028037,0.03954214360041624,0.06022845275181724,0.6703606247901917,0.46862858533859253,0.5516297221183777
69,0.19629629629629633,0.03345724907063197,0.13703703703703704,0.5995341539382935,0.44428715109825134,0.5103657245635986
45,0.26523297491039427,0.1474820143884892,0.15770609318996417,0.6695980429649353,0.495921790599823,0.569819986820221
75,0.1973392461197339,0.0911111111111111,0.12416851441241684,0.642133355140686,0.48252877593040466,0.5510060787200928
62,0.3308457711442786,0.1770573566084788,0.23134328358208955,0.6738575100898743,0.6087287664413452,0.6396394968032837
56,0.21081830790568654,0.11126564673157163,0.1331484049930652,0.6750389337539673,0.5081042647361755,0.5797948837280273
40,0.45238095238095233,0.26962457337883955,0.3333333333333333,0.7209745049476624,0.6202453374862671,0.666827380657196
