article_id,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1
30,0.31337579617834393,0.0842911877394636,0.1910828025477707,0.6042526960372925,0.5310572385787964,0.5652954578399658
0,0.3698296836982969,0.2804878048780488,0.3357664233576642,0.8076976537704468,0.7119269371032715,0.7567944526672363
22,0.47792207792207797,0.328125,0.37662337662337664,0.8261966109275818,0.7209675908088684,0.7700035572052002
31,0.48244274809160304,0.39203675344563554,0.40916030534351144,0.7870727777481079,0.6644808053970337,0.7206000089645386
18,0.30028328611898014,0.08522727272727272,0.20963172804532576,0.6248756647109985,0.5371797680854797,0.5777186155319214
28,0.295169946332737,0.17921146953405018,0.23613595706618964,0.7396908402442932,0.633857250213623,0.6826967597007751
10,0.6217391304347827,0.388646288209607,0.5434782608695653,0.7624145150184631,0.6900311708450317,0.7244191765785217
53,0.2986425339366515,0.16036308623298035,0.21417797888386125,0.6910673379898071,0.5406129956245422,0.6066508293151855
4,0.45161290322580644,0.29754204398447603,0.29419354838709677,0.7361443638801575,0.654513418674469,0.6929330229759216
12,0.4435946462715105,0.3147792706333973,0.39005736137667313,0.7234201431274414,0.5726426839828491,0.6392610669136047
49,0.5848670756646216,0.36550308008213556,0.4498977505112475,0.7176321148872375,0.6565009951591492,0.6857067942619324
33,0.21716287215411556,0.15263157894736842,0.17688266199649735,0.7147654891014099,0.5747113227844238,0.6371325254440308
68,0.34683954619124796,0.23214285714285712,0.25121555915721233,0.7601197361946106,0.6614748239517212,0.7073746919631958
35,0.20096618357487922,0.09293320425943855,0.1391304347826087,0.6666556596755981,0.5357636213302612,0.5940853357315063
69,0.3580645161290323,0.1262135922330097,0.2645161290322581,0.6336566209793091,0.5153940320014954,0.5684394240379333
45,0.4648318042813457,0.2484662576687117,0.2996941896024465,0.7273136377334595,0.6085314750671387,0.6626415848731995
75,0.34059405940594056,0.18055555555555555,0.2297029702970297,0.7298024892807007,0.5855742692947388,0.6497812271118164
62,0.4483568075117371,0.32941176470588235,0.36619718309859156,0.806098461151123,0.7129327654838562,0.7566584944725037
56,0.3173431734317343,0.1282367447595561,0.1894218942189422,0.6688150763511658,0.5695264935493469,0.615190327167511
40,0.5385826771653544,0.3001579778830964,0.35905511811023627,0.7482865452766418,0.6639384031295776,0.7035935521125793
